store_num,mon_open,mon_close,tues_open,tues_close,wed_open,wed_close,thurs_open,thurs_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
2,11,20,11,18,11,18,11,20,11,18,9,17,99,99
5,11,19,99,99,11,18,11,19,11,18,10,17,99,99
6,11,19,99,99,11,18,11,19,11,18,10,17,99,99
17,10,20,10,18,10,18,10,20,10,18,9,17,12,17
18,11,20,11,20,11,20,11,20,11,20,9,17,12,17
301,11,19,11,18,11,18,11,19,11,18,10,17,99,99
304,11,20,11,18,11,18,11,20,11,18,9,17,99,99
305,11,19,11,18,11,18,11,19,11,18,10,17,99,99
307,11,20,11,18,11,18,11,20,11,18,9,17,12,17
308,11,19,11,18,11,18,11,19,11,18,10,17,99,99
310,11,20,11,18,11,18,11,20,11,18,10,17,12,17
311,10,20,10,18,10,18,10,20,10,18,9,17,12,17
312,11,20,11,19,11,19,11,20,11,19,10,17,12,17
314,11,20,11,19,11,19,11,20,11,19,10,17,12,17
315,10,20,10,20,10,20,10,20,10,20,9,17,12,17
316,11,20,11,18,11,18,11,20,11,18,9,17,12,17
317,11,20,11,19,11,19,11,20,11,19,10,17,12,17
502,11,19,11,18,11,18,11,19,11,18,10,17,99,99
503,11,19,11,18,11,18,11,19,11,18,10,17,12,17
504,11,20,11,18,11,18,11,20,11,18,9,17,99,99
507,11,19,11,18,11,18,11,20,11,18,10,17,12,17
508,11,19,11,18,11,18,11,19,11,18,10,17,12,17
509,11,20,11,18,11,18,11,20,11,18,10,17,12,17
510,11,19,11,18,11,18,11,19,11,18,11,17,12,17
511,11,19,99,99,11,18,11,19,11,18,10,17,99,99
512,11,19,99,99,11,18,11,19,11,18,10,17,12,17
515,11,20,11,19,11,19,11,20,11,19,10,17,12,17
517,11,19,99,99,11,18,11,19,11,18,10,17,99,99
603,11,19,11,18,11,18,11,19,11,18,10,17,12,17
605,11,19,99,99,11,18,11,19,11,18,10,17,99,99
606,11,19,99,99,11,18,11,19,11,18,10,17,99,99
608,11,19,99,99,11,18,11,19,11,18,10,17,99,99
611,11,19,11,18,11,18,11,19,11,18,10,17,99,99
613,11,19,11,18,11,18,11,19,11,18,10,17,12,17
614,10,19,10,18,10,18,10,19,10,18,10,17,12,17
615,11,19,99,99,11,18,11,19,11,18,10,17,99,99
701,11,20,11,18,11,18,11,20,11,18,9,17,99,99
702,11,20,11,18,11,18,11,20,11,18,10,17,99,99
704,11,20,11,18,11,18,11,20,11,18,10,17,12,17
707,11,20,11,18,11,18,11,20,11,18,10,17,99,99
708,10,20,10,20,10,20,10,20,10,20,10,18,12,18
710,11,19,11,18,11,18,11,19,11,18,10,18,12,17
714,11,20,11,19,11,19,11,20,11,19,10,17,12,17
717,11,19,11,18,11,18,11,19,11,18,10,17,99,99
718,11,19,11,18,11,18,11,19,11,18,10,17,12,17
719,11,19,99,99,11,18,11,19,11,18,10,17,12,17
720,11,19,99,99,11,18,11,19,11,18,10,17,12,17
721,11,19,99,99,11,18,11,19,11,18,10,17,99,99
722,11,19,11,18,11,18,11,19,11,18,10,17,12,17
724,11,20,11,18,11,18,11,20,11,18,10,17,12,17
727,11,20,11,20,11,20,11,20,11,20,9,17,12,17
729,11,19,99,99,11,18,11,19,11,18,10,17,99,99
730,11,20,11,18,11,18,11,20,11,18,9,17,99,99
733,11,19,99,99,11,18,11,19,11,18,10,17,99,99
734,11,19,11,18,11,18,11,19,11,18,10,17,12,17
736,11,19,99,99,11,18,11,19,11,18,10,17,99,99
743,11,19,11,18,11,18,11,19,11,18,10,17,12,17
749,11,20,11,18,11,18,11,20,11,18,10,17,12,17
751,11,19,11,18,11,18,11,19,11,18,10,17,12,17
753,11,20,11,18,11,18,11,29,11,18,10,17,12,17
754,11,20,11,18,11,18,11,20,11,18,10,17,99,99
758,11,20,11,18,11,18,11,20,11,18,10,17,12,17
761,11,20,11,19,11,19,11,20,11,19,10,17,12,17
762,11,20,11,18,11,18,11,20,11,18,10,17,12,17
764,11,20,11,18,11,18,11,20,11,18,10,17,12,17
766,11,20,11,18,11,18,11,20,11,18,10,17,99,99
771,11,19,11,18,11,18,11,19,11,18,10,17,12,17
774,11,20,11,19,11,19,11,20,11,19,9,17,12,17
776,11,20,11,18,11,18,11,20,11,18,9,17,12,17
784,11,20,11,18,11,18,11,20,11,18,9,17,12,17
785,11,19,11,18,11,18,11,19,11,18,10,17,12,17
786,11,19,11,18,11,18,11,19,11,18,10,17,12,17
788,11,20,11,18,11,18,11,20,11,18,9,17,12,17